"categoryId","categoryTitle","chargeId","chargeCode","degreeCode","chargeTitle","chargeDescription","degreeId","degreeLabel","classification","tags","severityScore","baseFine","baseTime","modifierIds","liabilityOptions","legalOverview","legalPrinciples","hasLegalPrinciples"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","EF-PC-01-001-A","Assault","Unlawful attempts, threats, or acts done with present ability to apply force to another person, with aggravated treatment for deadly weapons or force likely to cause serious injury.","assault","Assault","misdemeanor","misdemeanor;person;victim-specific;violent","64.1","200","5","public-servant-victim;cooperation;minor-injury;multiple-victims;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1;accessory fine x0.4 time x0.5","Assault focuses on unlawful attempts, threats, or acts done with present ability to apply force to another person.","Physical contact or injury is not required if the suspect took a direct act or made an immediate threat with present ability to apply unlawful force. | The threat or attempted force must be immediate rather than vague, conditional, or only future-facing. | Pointing a firearm, drawing back to strike, lunging, chasing within striking range, or other conduct showing present ability may support assault even if no contact occurs. | If a deadly weapon, firearm, or force likely to cause serious injury is used, evaluate Aggravated Assault rather than relying only on this degree. | Reports should document words, gestures, distance, present ability, victim reaction, weapons or dangerous instruments, and why imminent force was reasonably feared.","True"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","EF-PC-01-001-B","Assault","Unlawful attempts, threats, or acts done with present ability to apply force to another person, with aggravated treatment for deadly weapons or force likely to cause serious injury.","aggravated-assault","Aggravated Assault","felony","felony;person;victim-specific;violent","168","325","15","public-servant-victim;cooperation;firearm-discharged;multiple-victims;medical-aid-rendered;prior-conviction;on-release;voluntary-surrender;first-offense","principal fine x1 time x1","Aggravated assault focuses on assaultive conduct involving a deadly weapon, firearm, dangerous instrument, or force likely to cause serious bodily injury.","Physical contact, injury, or Stage 1 incapacitation is not required if the suspect took a direct act with present ability to apply deadly or serious-injury force. | Shooting at, stabbing at, striking at, driving toward, or otherwise using a deadly weapon or force likely to cause serious bodily injury may support this degree even if the victim is not hit. | Use of a weapon or dangerous instrument is built into this degree and should be documented as part of the Aggravated Assault facts. | If reports show a specific intent to kill plus a direct step toward killing, attempted murder may apply instead of or in addition to Aggravated Assault. | When a victim reaches Stage 1 incapacitation, officers should evaluate attempted murder, torture, aggravated battery, or homicide-stage charges based on intent, continued harm, and whether the victim later reaches Stage 2. | Reports should document the act, present ability, weapon or force used, range and direction, victim reaction, injuries if any, witness accounts, and any self-defense or consent claim.","True"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","EF-PC-01-002-A","Battery","Unlawful physical contact, force, or violence causing bodily injury or offensive contact.","battery","Battery","misdemeanor","misdemeanor;person;victim-specific;violent","166.6","275","15","public-servant-victim;cooperation;minor-injury;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Battery focuses on unlawful physical contact or force that causes injury or offensive contact.","The contact may be direct or indirect, including contact through an object or item closely connected to the victim. | Battery requires actual contact or force, unlike assault which may be based on reasonable fear without contact. | Reports should document the contact, injury or offensive nature, victim reaction, physical evidence, witnesses, and any self-defense or consent claim.","True"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","EF-PC-01-002-B","Battery","Unlawful physical contact, force, or violence causing bodily injury or offensive contact.","aggravated-battery","Aggravated Battery","felony","felony;person;victim-specific;violent","219.4","375","20","public-servant-victim;cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense;firearm-discharged;on-release","principal fine x1 time x1","Aggravated battery focuses on intentional unlawful force that causes more serious bodily injury or harmful contact.","The conduct should involve intentional force and actual injury, significant pain, or harmful offensive contact. | Intentional force that causes Stage 1 incapacitation but does not result in Stage 2 should generally be evaluated as Aggravated Battery unless the facts show intent to kill supporting attempted murder. | Additional damage to a Stage 1 victim that does not cause Stage 2 may support Aggravated Battery, torture, or attempted murder depending on intent, injury, duration, and surrounding facts. | Use of a weapon, multiple victims, protected public-servant status, or lack of aid should be documented for applicable modifiers. | Reports should document injuries, medical treatment, force used, weapon or instrument, witness accounts, victim statements, and any justification claimed.","True"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","EF-PC-01-003-A","Manslaughter","Unlawful killings caused without murder-level malice, including criminal negligence and vehicle-related negligent killings.","involuntary-manslaughter","Involuntary Manslaughter","felony","felony;homicide;person;victim-specific;violent","227.4","750","20","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Involuntary manslaughter focuses on an unintentional killing caused by criminal negligence or a non-murder unlawful act.","The death must be caused by the suspect's criminally negligent conduct, criminal accident, or unlawful act. | This degree should be distinguished from murder when facts show malice, intent to kill, or extreme reckless disregard for life. | A suspect may cause a Stage 2 death even when Stage 1 incapacitation or fatal bleeding develops later, so long as the suspect's criminally negligent conduct or unlawful act remains a substantial cause of death. | When both Stage 1 incapacitation and Stage 2 death result from accidental, negligent, or otherwise unintentional conduct, Involuntary Manslaughter is the default homicide charge if criminal negligence or an unlawful act caused the death. | If an unrelated later act, independent medical event, or separate emergency is the primary cause of Stage 2, officers should not charge manslaughter against the earlier actor unless that actor's conduct remained a substantial factor in the death. | If the suspect intentionally caused Stage 1 or knowingly allowed Stage 2 to occur after creating a life-threatening condition, officers should evaluate murder rather than manslaughter. | Reports should document cause of death, suspect conduct, negligence facts, timeline, witnesses, medical findings, and why murder-level intent or malice is absent.","True"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","EF-PC-01-003-B","Manslaughter","Unlawful killings caused without murder-level malice, including criminal negligence and vehicle-related negligent killings.","vehicular-manslaughter","Vehicular Manslaughter","felony","felony;homicide;person;victim-specific;violent","277.4","750","25","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Vehicular manslaughter focuses on a death caused by negligent or unlawful vehicle operation.","The suspect must be operating or in actual physical control of a vehicle and that operation must cause the death. | This degree should be distinguished from ordinary traffic offenses and from murder when facts show intentional killing or extreme disregard for life. | A vehicle collision or unlawful vehicle operation may cause a later Stage 1 incapacitation or Stage 2 death through bleeding or deterioration if the vehicle conduct remains a substantial cause of death. | When vehicle operation accidentally or negligently causes Stage 1 incapacitation and the victim later reaches Stage 2, Vehicular Manslaughter is the default charge if the death is caused by the vehicle conduct and murder-level intent is absent. | If a later unrelated act or independent medical event is the primary cause of Stage 2, officers should not rely only on the earlier vehicle contact unless the vehicle conduct remained a substantial factor in the death. | If the vehicle is intentionally used as a weapon to cause Stage 1 or Stage 2, officers should evaluate attempted murder or murder instead of treating the case only as vehicular manslaughter. | Reports should document vehicle operation, collision facts, traffic violations, speed, impairment if any, cause of death, witnesses, and crash reconstruction or scene evidence.","True"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","EF-PC-01-004-A","Murder","Unlawful killings committed with malice, intent, premeditation, felony-murder circumstances, or related attempt and accessory liability.","second-degree-murder","Second Degree Murder","felony","felony;homicide;person;victim-specific;violent","554.8","3000","50","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense","principal fine x1 time x1;accessory fine x0.2857 time x0.625;attempted fine x0.86 time x0.75;conspiracy fine x0.9 time x0.9","Second degree murder focuses on unlawful killing with malice or extreme reckless disregard without premeditation.","The killing may be intentional or based on conscious disregard for human life, but it lacks the planning or deliberation required for first degree murder. | Intentional conduct that creates a life-threatening bleed or injury may support Second Degree Murder if the victim later reaches Stage 1 or Stage 2 and the suspect's conduct remains a substantial cause of death. | Intentional Stage 1 incapacitation followed by Stage 2 death through the bleed-out timer is ordinarily Second Degree Murder when the suspect created a life-threatening condition but the facts do not show premeditation, continued damage, or deliberate prevention of rescue. | When a suspect intentionally or recklessly creates a life-threatening condition and then knowingly abandons the victim, fails to seek available aid, or allows Stage 2 to occur, officers should evaluate Second Degree Murder unless the facts show premeditation or deliberate use of delay as the killing method. | When one person causes Stage 1 and another person later causes Stage 2, charge each actor according to their own conduct, intent, and causal role; the first actor may face murder, attempted murder, or aggravated battery depending on whether their conduct remained a substantial cause of death. | Coordinated group violence that collectively causes Stage 2 may support principal, aiding-and-abetting, or conspiracy liability when the participants shared the violent purpose or knowingly assisted the life-threatening attack. | Shooting at or otherwise attacking a person with a deadly weapon without causing Stage 1 should ordinarily be charged as Aggravated Assault unless independent facts show a specific intent to kill and a direct step toward killing. | Attempted murder and accessory liability should use the listed liability options when the facts support those roles. | Reports should document cause of death, suspect intent or reckless disregard, weapon or method, timeline, statements, witnesses, and why first degree premeditation is not established.","True"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","EF-PC-01-004-B","Murder","Unlawful killings committed with malice, intent, premeditation, felony-murder circumstances, or related attempt and accessory liability.","first-degree-murder","First Degree Murder","felony","felony;homicide;person;victim-specific;violent","713.2","4000","65","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense","principal fine x1 time x1;accessory fine x0.6 time x0.7;attempted fine x0.85 time x0.75;conspiracy fine x0.9 time x0.9","First degree murder is reserved for premeditated killings and qualifying felony-murder circumstances.","Premeditation may be shown by planning, motive, preparation, manner of killing, prior threats, or other facts showing reflection before the act. | Premeditation does not require advance knowledge of the victim's exact identity if the suspect deliberately targeted a specific person, identifiable group, occupied location, occupied vehicle, or other sufficiently defined target. | In Stage 1 and Stage 2 terms, intentionally continuing to damage an already incapacitated Stage 1 victim until they reach Stage 2 should ordinarily be treated as First Degree Murder. | A Stage 2 death caused by the bleed-out timer may support First Degree Murder when the suspect deliberately uses the delay as the killing method, including by preventing aid, delaying rescue, hiding or moving the victim, threatening responders, guarding the scene, or otherwise ensuring death after time for reflection. | Additional damage to a Stage 1 victim that does not cause Stage 2 should not be charged as completed murder by itself, but may support attempted murder, aggravated battery, torture, or other applicable charges based on intent and injury. | Intentional Stage 1 incapacitation may support attempted murder when reports show intent to kill through weapon choice, target area, repeated attacks, statements, pursuit of the victim, or other circumstances showing the suspect meant to cause death rather than only injury. | When multiple actors are involved, the person who intentionally delivers the Stage 2-causing damage or deliberately prevents aid may support First Degree Murder if the facts show premeditation, reflection, or a deliberate killing method; other participants should be charged based on their own intent, assistance, and causal role. | Qualifying felony-murder circumstances should be limited to inherently dangerous major felonies such as robbery, carjacking, kidnapping, hostage taking, arson, burglary or home-invasion conduct, criminal use of explosives, or violent escape or jailbreak. | Low-level, possession-based, regulatory, paperwork, licensing, or nonviolent status felonies should not qualify for first degree felony-murder treatment unless separate facts show premeditation or another qualifying dangerous felony. | Public-servant murder, attempted murder of a public servant, accessory liability, and conspiracy should use the listed liability options and modifiers when supported. | Reports should document cause of death, planning evidence, timeline, weapon or method, felony connection if any, victim status, statements, witnesses, and each participant's role.","True"
"offenses-against-persons","Offenses Against Persons","unlawful-imprisonment","EF-PC-01-005","EF-PC-01-005-A","Unlawful Imprisonment","Intentional restraint or confinement of another person without consent or lawful authority.","unlawful-imprisonment","Unlawful Imprisonment","misdemeanor","misdemeanor;person;victim-specific","27.3","300","1","public-servant-victim;cooperation;multiple-victims;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Unlawful imprisonment focuses on intentional restriction of another person's movement without consent or lawful authority.","The restraint may be physical, by threat, by locked space, by blocking exits, or by other conduct that prevents free movement. | Brief obstruction or ordinary argument should not be charged unless the facts show meaningful restraint or detention. | Reports should document how movement was restricted, duration, location, victim statements, threats or force, exits available, and any claimed legal authority.","True"
"offenses-against-persons","Offenses Against Persons","kidnapping-and-hostage-taking","EF-PC-01-006","EF-PC-01-006-A","Kidnapping and Hostage Taking","Abduction, confinement, movement, or holding of a person against their will, including leverage-based hostage conduct.","kidnapping","Kidnapping","felony","felony;person;victim-specific;violent","288.7","1500","25","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense","principal fine x1 time x1;attempted fine x0.6 time x0.6;accessory fine x0.3 time x0.4667;conspiracy fine x0.9 time x0.9","Kidnapping focuses on unlawful abduction, movement, or confinement against the victim's will.","The taking or confinement may be accomplished by force, threat, deception, intimidation, or other unlawful means. | Attempted kidnapping and accessory conduct should use the listed liability options when the victim is not fully moved or confined or when the suspect's role is secondary. | Reports should document victim identity, movement or confinement, lack of consent, force or deception, duration, location, communications, and each participant's role.","True"
