"categoryId","categoryTitle","chargeId","chargeCode","degreeCode","chargeTitle","degreeId","degreeLabel","classification","tags","liabilityId","liabilityLabel","liabilityFineMultiplier","liabilityTimeMultiplier","baseFine","baseTime","baseSeverity","minFine","minTime","minSeverity","maxFine","maxTime","maxSeverity","mitigatingAppliedForMin","aggravatingAppliedForMax","modifierIds"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","EF-PC-01-001-A","Assault","assault","Assault","misdemeanor","misdemeanor;person;victim-specific;violent","principal","Principal Actor","1","1","200","5","64.14","120","1","20.95","700","13","156.46","cooperation;minor-injury;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;prior-conviction:ten-plus-priors","public-servant-victim;cooperation;minor-injury;multiple-victims;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","EF-PC-01-001-A","Assault","assault","Assault","misdemeanor","misdemeanor;person;victim-specific;violent","accessory","Accessory","0.4","0.5","80","3","33.94","48","0","6.93","280","9","106.73","cooperation;minor-injury;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;prior-conviction:ten-plus-priors","public-servant-victim;cooperation;minor-injury;multiple-victims;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","EF-PC-01-001-B","Assault","aggravated-assault","Aggravated Assault","felony","felony;person;victim-specific;violent","principal","Principal Actor","1","1","325","15","168.03","195","6","73.96","1922","44","483.84","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","public-servant-victim;firearm-discharged;multiple-victims;prior-conviction:ten-plus-priors;on-release","public-servant-victim;cooperation;firearm-discharged;multiple-victims;medical-aid-rendered;prior-conviction;on-release;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","EF-PC-01-002-A","Battery","battery","Battery","misdemeanor","misdemeanor;person;victim-specific;violent","principal","Principal Actor","1","1","275","15","166.58","165","5","62.85","963","27","301.03","cooperation;minor-injury;medical-aid-rendered;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;prior-conviction:ten-plus-priors","public-servant-victim;cooperation;minor-injury;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","EF-PC-01-002-B","Battery","aggravated-battery","Aggravated Battery","felony","felony;person;victim-specific;violent","principal","Principal Actor","1","1","375","20","219.36","225","8","95","2141","51","556.27","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","public-servant-victim;firearm-discharged;multiple-victims;prior-conviction:ten-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense;firearm-discharged;on-release"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","EF-PC-01-003-A","Manslaughter","involuntary-manslaughter","Involuntary Manslaughter","felony","felony;homicide;person;victim-specific;violent","principal","Principal Actor","1","1","750","20","227.39","450","8","101.21","1313","29","326.24","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","multiple-victims;prior-conviction:ten-plus-priors","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","EF-PC-01-003-B","Manslaughter","vehicular-manslaughter","Vehicular Manslaughter","felony","felony;homicide;person;victim-specific;violent","principal","Principal Actor","1","1","750","25","277.39","450","10","121.21","1313","35","386.24","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","multiple-victims;prior-conviction:ten-plus-priors","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","EF-PC-01-004-A","Murder","second-degree-murder","Second Degree Murder","felony","felony;homicide;person;victim-specific;violent","principal","Principal Actor","1","1","3000","50","554.77","1530","17","209.12","13625","94","1056.73","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;firearm-discharged;multiple-victims;prior-conviction:ten-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","EF-PC-01-004-A","Murder","second-degree-murder","Second Degree Murder","felony","felony;homicide;person;victim-specific;violent","accessory","Accessory","0.2857","0.625","857","31","341.78","437","11","130.9","4250","67","735.19","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;firearm-discharged;multiple-victims;prior-conviction:ten-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","EF-PC-01-004-A","Murder","second-degree-murder","Second Degree Murder","felony","felony;homicide;person;victim-specific;violent","attempted","Attempted","0.86","0.75","2580","38","425.79","1316","13","166.28","11788","76","868.57","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;firearm-discharged;multiple-victims;prior-conviction:ten-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","EF-PC-01-004-A","Murder","second-degree-murder","Second Degree Murder","felony","felony;homicide;person;victim-specific;violent","conspiracy","Conspiracy","0.9","0.9","2700","45","501.96","1377","16","197.11","12313","87","980.96","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;firearm-discharged;multiple-victims;prior-conviction:ten-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
